<ERROR> 2016-07-04 19:44:54,312 (7144, 7476) [views.get:38] this is test log file .....
<CRITICAL> 2016-07-04 19:44:54,315 (7144, 7476) [views.get:39] Ileggal intrution!
<ERROR> 2016-07-04 19:45:41,519 (4996, 7672) [views.get:38] this is test log file .....
<CRITICAL> 2016-07-04 19:45:41,520 (4996, 7672) [views.get:39] Ileggal intrution!
<ERROR> 2016-07-04 19:45:50,200 (4996, 7672) [views.get:38] this is test log file .....
<CRITICAL> 2016-07-04 19:45:50,200 (4996, 7672) [views.get:39] Ileggal intrution!
<ERROR> 2016-07-04 19:51:37,506 (4996, 7672) [views.get:38] this is test log file .....
<CRITICAL> 2016-07-04 19:51:37,506 (4996, 7672) [views.get:39] Ileggal intrution!
<ERROR> 2016-07-04 19:56:51,322 (1784, 2728) [views.get:38] this is test log file .....
<CRITICAL> 2016-07-04 19:56:51,325 (1784, 2728) [views.get:39] Ileggal intrution!
<ERROR> 2016-07-04 19:56:55,957 (1784, 2728) [views.get:38] this is test log file .....
<CRITICAL> 2016-07-04 19:56:55,957 (1784, 2728) [views.get:39] Ileggal intrution!
<ERROR> 2016-07-04 19:57:09,362 (7220, 9024) [views.get:38] this is test log file .....
<CRITICAL> 2016-07-04 19:57:09,362 (7220, 9024) [views.get:39] Ileggal intrution!
<ERROR> 2016-07-04 19:59:39,588 (7220, 9024) [views.get:38] this is test log file .....
<CRITICAL> 2016-07-04 19:59:39,588 (7220, 9024) [views.get:39] Ileggal intrution!
<ERROR> 2016-07-04 19:59:41,290 (7220, 9024) [views.get:38] this is test log file .....
<CRITICAL> 2016-07-04 19:59:41,293 (7220, 9024) [views.get:39] Ileggal intrution!
<ERROR> 2016-07-04 19:59:50,852 (7220, 9024) [views.get:38] this is test log file .....
<CRITICAL> 2016-07-04 19:59:50,854 (7220, 9024) [views.get:39] Ileggal intrution!
<ERROR> 2016-07-04 20:02:22,609 (7220, 9024) [views.get:38] this is test log file .....
<CRITICAL> 2016-07-04 20:02:22,611 (7220, 9024) [views.get:39] Ileggal intrution!
<ERROR> 2016-07-04 20:02:24,803 (7220, 9024) [views.get:38] this is test log file .....
<CRITICAL> 2016-07-04 20:02:24,805 (7220, 9024) [views.get:39] Ileggal intrution!
<ERROR> 2016-07-04 20:03:04,447 (7220, 9024) [views.get:38] this is test log file .....
<CRITICAL> 2016-07-04 20:03:04,460 (7220, 9024) [views.get:39] Ileggal intrution!
<ERROR> 2016-07-04 20:09:49,612 (7220, 9024) [views.get:38] this is test log file .....
<CRITICAL> 2016-07-04 20:09:49,614 (7220, 9024) [views.get:39] Ileggal intrution!
<ERROR> 2016-07-04 20:09:53,628 (7220, 9024) [views.get:38] this is test log file .....
<CRITICAL> 2016-07-04 20:09:53,628 (7220, 9024) [views.get:39] Ileggal intrution!
<ERROR> 2016-07-04 20:09:56,467 (7220, 9024) [views.get:38] this is test log file .....
<CRITICAL> 2016-07-04 20:09:56,469 (7220, 9024) [views.get:39] Ileggal intrution!
<ERROR> 2016-07-04 20:09:58,914 (7220, 9024) [views.get:38] this is test log file .....
<CRITICAL> 2016-07-04 20:09:58,917 (7220, 9024) [views.get:39] Ileggal intrution!
<ERROR> 2016-07-04 20:11:08,088 (7220, 9024) [views.get:38] this is test log file .....
<CRITICAL> 2016-07-04 20:11:08,089 (7220, 9024) [views.get:39] Ileggal intrution!
<ERROR> 2016-07-04 20:13:46,750 (7220, 9024) [views.get:38] this is test log file .....
<CRITICAL> 2016-07-04 20:13:46,750 (7220, 9024) [views.get:39] Ileggal intrution!
